resolution	cluster	n_cells	entropy	top_lineage	margin	top_unbiased_genes	astro_glial	radial_glia	opc	oligo_mature	neuronal	myeloid	t_cell	endothelial	proliferation
res0.2	8	112252	0.555020631786969	t_cell	0.000499325259789917	FGFR3, COL25A1, RGS16, FGFR2, NR4A2	-0.0561062640462334	-0.0177082823627165	-0.0364897195762376	0.00878457243614499	-0.00667073670386575	-0.00987654483906317	0.00928389769593491	0.00568731501992223	0.00659379784275313
res0.2	1	350229	0.517739267176746	neuronal	0.00769468506712011	RELN, APP, SOX4, NNAT, FBLN1	-0.105921595180122	-0.0427722333381996	-0.0726976316932872	-0.0127434067781478	-0.00504872171102772	-0.0368050968711992	-0.0151319315881806	-0.0366100705290535	-0.015205318797352
res0.2	10	36992	0.709443003968473	neuronal	0.0222352386098428	SLC17A7, CRYM, APP, C1QL3, HS3ST2	0.0365135276885981	-0.0810907195497562	-0.00105614606142537	-0.00245456644210139	0.0587487662984408	-0.0135654165494808	-0.0147825043695018	-0.0104055340851557	0.00679596479900158
res0.2	2	300457	0.156225621103296	radial_glia	0.052154067315996	RELN, FGFR3, APP, COL25A1, SOX4	-0.0949957771774892	0.070254522003446	-0.0583337990921454	0.0068659739147208	0.00277218002092365	-0.0253475267939247	0.0181004546874499	-0.0145278568193716	0.00879480993554449
res0.2	11	33991	0.764141847607663	t_cell	0.0743048081604657	CD2, TRAC, CD48, CCL5, PTPRC	-0.0658627735166558	-0.070065117717873	-0.0493905817143765	-0.00666706679717924	-0.0267519506204584	-0.0143843192166363	0.0676377413632865	-0.011871219371891	-0.0113849854962034
res0.2	7	119248	0.258340005256629	radial_glia	0.100204196162504	CXCL14, PAX6, FGFR3, DNER, RGS16	-0.00519480189928292	0.169610472794006	-0.053563245771848	0.00278455437883688	0.0694062766315019	-0.0274784933701061	-0.00480357934888188	-0.0179099656091404	0.0078932568162689
res0.2	13	27716	0.784733183848566	oligo_mature	0.116240021798354	ERMN, MOG, CNDP1, UGT8, CLDN11	-0.0353666340271991	-0.0700117354215694	-0.00877039411830042	0.107469627680053	-0.0262919791899884	-0.0212770471714238	-0.0124955278847331	-0.0214443293656448	-0.0156785726249281
res0.2	5	155983	0.386680308778435	radial_glia	0.117144140361535	PAX6, FGFR3, SOX4, LAMP5, MEIS2	-0.0171401678775066	0.135934809503159	-0.0399173670565238	-0.00323531174566001	0.00931120465234995	-0.0303736401009421	-0.00954005406523413	-0.0164010390880765	0.0187906691416247
res0.2	6	153150	0.95397237781387	myeloid	0.13148752790796	GPR34, AIF1, APOE, MS4A6A, RNASET2	0.0347639251659313	-0.127594322838943	-0.0205240454140317	-0.0104089120964534	-0.0399805462865069	0.182560181258084	0.0308629534259932	0.0510726533501236	-0.0134087936235695
res0.2	12	29216	0.696368503022792	proliferation	0.143444566596484	TOP2A, MKI67, SOX4, APP, CENPF	-0.0646741262189876	-0.00876228803292672	-0.0409460286978298	-0.00401943244644891	-0.00715110706657663	-0.0201100922741647	-0.0043179356727169	-0.0150032299489347	0.139425134150035
res0.2	9	112020	0.896963065484585	endothelial	0.202609486854811	IFITM3, DCN, FLT1, IGFBP4, PECAM1	-0.00113771002926176	-0.135439606068394	-0.0364227343806215	-0.00421254411243223	-0.0452062209095327	0.00109779436930327	0.00264160425791593	0.205251091112727	-0.0170839463832866
res0.2	4	182435	0.900655789696736	opc	0.238986575415664	PTPRZ1, OLIG1, SEMA5A, OLIG2, VCAN	0.0425761152995898	-0.0355522585284491	0.281562690715254	0.00977832033071819	0.0289777130167761	0.0108066662869786	-0.0146215970279878	-0.027079226319505	-0.0015605848381411
res0.2	3	188316	0.779827713599127	astro_glial	0.239054553504958	AQP4, APOE, GJA1, PTPRZ1, TTYH1	0.323541194017472	0.0205399983713348	0.0844866405125144	-0.00655358531307151	-0.013851150886565	-0.0010800633558844	-0.0166338451508264	-0.0284094384591152	-0.00995215204406939
res0.3	9	114607	0.561230390824565	t_cell	0.00047097074396831	FGFR3, COL25A1, RGS16, NR4A2, FGFR2	-0.0563368168168289	-0.0172490468833146	-0.036808946455557	0.00855233478825692	-0.00641145514107434	-0.0102289145027701	0.00902330553222523	0.00517657825550702	0.00634467995865806
res0.3	5	173550	0.516345347163032	oligo_mature	0.0025162424040491	APP, RELN, SOX4, DNER, KCNH5	-0.101999220508399	-0.0357924125648023	-0.0708647279975444	-0.014471108682132	-0.0184078977290779	-0.0388595211685362	-0.016987351086181	-0.0383410608178687	-0.0212218934129647
res0.3	17	65	0.671025942436082	oligo_mature	0.00601959554702156	SST, TAC1, MEPE, SAMD5, SDK1	-0.0916533106021345	-0.123636895272488	-0.0717461483743345	-0.0190229974360966	-0.0517762925936946	-0.041454025476246	-0.0250425929831182	-0.0373424259062455	-0.0348603244841457
res0.3	15	257	0.615094530792574	oligo_mature	0.00641682227070987	SNTB2, GNLY, NPFFR2, CRHBP, CTNNA3	-0.0932078010436454	-0.128348777256162	-0.0703380634985696	-0.0186284393308015	-0.0484558684761639	-0.0403972790442454	-0.0250452616015114	-0.0394759707954415	-0.0337423422607429
res0.3	4	173700	0.451769318339084	neuronal	0.0154434643618965	NNAT, RELN, SOX4, FBLN1, APP	-0.0879700070429577	-0.0411175558945191	-0.0594311073041463	-0.00853955650392836	0.00913480815315174	-0.0270622674949105	-0.0101126694045249	-0.0273831668372007	-0.00630865620874481
res0.3	11	38034	0.705536783060354	neuronal	0.0210525386907802	SLC17A7, CRYM, APP, C1QL3, HS3ST2	0.0382823577861373	-0.0804034464164801	-0.000645537431230922	-0.00253208374862546	0.0593348964769175	-0.0134870446114945	-0.0147406687123131	-0.0108727950750366	0.00646820811390676
res0.3	1	297802	0.154947969150917	radial_glia	0.0527770183876052	RELN, FGFR3, APP, COL25A1, SOX4	-0.0946377481829331	0.0711296744070497	-0.0580551395485152	0.00705416002629481	0.00303971735655495	-0.0251465635533101	0.0183526560194445	-0.0142732839526364	0.00912319833498293
res0.3	12	34058	0.76449614752954	t_cell	0.0743554590951176	CD2, TRAC, CD48, PTPRC, CCL5	-0.065763247521016	-0.0701697178584167	-0.049324189282516	-0.00667376345121994	-0.0267541490204869	-0.0143436092605726	0.0676816956438976	-0.0119088979814711	-0.0114149735555392
