cell_type	histology	n_samples	estimate_log_odds	se	p_value	model_status	status_reason	warning_log	fit_error	q_value	ci_low	ci_high	sign_call
astro_glial	central neurocytoma	2	-1.26104968034849	0.747249332349352	0.0914901710729826	pass	none	""		0.234470206117918	-2.72565837175322	0.203559011056238	depleted
astro_glial	cerebellar liponeurocytoma	3	-0.583090229957673	0.62675585255432	0.352199871600959	pass	none	""		0.533240331631809	-1.81153170096414	0.645351241048794	not_significant
astro_glial	ganglioglioma	2	2.10247563924688	0.437375481243455	1.5319149796117e-06	pass	none	""		1.5319149796117e-05	1.24521969600971	2.95973158248405	enriched
astro_glial	pilocytic astrocytoma	4	0.504679865295409	0.551270663305141	0.359937223851471	pass	none	""		0.533240331631809	-0.575810634782668	1.58517036537348	not_significant
endothelial	central neurocytoma	2	-0.338571476059106	0.42090587847092	0.421173151140239	pass	none	""		0.580928484331365	-1.16354699786211	0.486404045743897	not_significant
endothelial	cerebellar liponeurocytoma	3	-0.264310738839733	0.353510076904405	0.454656056969556	pass	none	""		0.606208075959408	-0.957190489572366	0.4285690118929	not_significant
endothelial	ganglioglioma	2	0.617166617209731	0.312709453873921	0.0484260650523869	pass	none	""		0.16142021684129	0.00425608761684659	1.23007714680262	enriched
endothelial	pilocytic astrocytoma	4	0.066934092707073	0.316914137925644	0.832726712977028	pass	none	""		0.923442245546023	-0.55421761762719	0.688085803041336	not_significant
myeloid	central neurocytoma	2	-0.903825430058362	0.539357265186597	0.0937880824471671	pass	none	""		0.234470206117918	-1.96096566982409	0.153314809707367	depleted
myeloid	cerebellar liponeurocytoma	3	-0.605466593126879	0.443819588642545	0.172499020292042	pass	none	""		0.317041768806464	-1.47535298686627	0.264419800612509	not_significant
myeloid	ganglioglioma	2	0.443487249128268	0.453165817287526	0.327756738542446	pass	none	""		0.524410781667914	-0.444717752755282	1.33169225101182	not_significant
myeloid	pilocytic astrocytoma	4	0.906360936678782	0.308244253189916	0.00327790385830537	pass	none	""		0.0187308791903164	0.302202200426547	1.51051967293102	enriched
neuronal	central neurocytoma	2	-0.0959401561113037	0.835632340604197	0.908594577632238	pass	none	""		0.931891874494603	-1.73377954369553	1.54189923147292	not_significant
neuronal	cerebellar liponeurocytoma	3	3.1624210970745	0.452640235966042	2.81606306934125e-12	pass	none	""		3.75475075912167e-11	2.27524623458106	4.04959595956794	enriched
neuronal	ganglioglioma	2	0.303563710625989	0.833893699422433	0.715834365103473	pass	none	""		0.842158076592321	-1.33086794024198	1.93799536149396	not_significant
neuronal	pilocytic astrocytoma	4	-1.66636360206779	0.649225670831433	0.0102673188279194	pass	none	""		0.0410692753116775	-2.9388459168974	-0.393881287238182	depleted
