niche_type	member_ct	N	prop
2	endothelial	128664	0.0911290413970513
2	astro_glial	656048	0.464660086352459
2	neuronal	227311	0.160997897850254
10	endothelial	791023	0.244104326723678
1	astro_glial	444034	0.0457667361498198
2	radial_glia	51618	0.0365595571320105
1	neuronal	5357886	0.552239141333351
9	astro_glial	383100	0.111874658331114
4	astro_glial	224273	0.184743749423379
4	neuronal	404004	0.332796251631015
8	endothelial	25209	0.0760076462926335
4	myeloid	107445	0.0885072753153296
9	opc	226383	0.0661094251552403
7	endothelial	47888	0.0652908967954451
3	astro_glial	570848	0.108187276366062
9	neuronal	1217201	0.355452743396738
12	astro_glial	80525	0.0778205792305789
4	oligo_mature	131023	0.107929533562664
3	myeloid	790624	0.149839286797259
10	myeloid	376440	0.116166827958051
6	neuronal	270422	0.313883575381644
3	neuronal	1803582	0.341815376917945
10	opc	389964	0.120340242529576
1	endothelial	199041	0.0205152239017649
9	myeloid	231446	0.0675879461553198
4	endothelial	80770	0.0665338789819831
10	astro_glial	258440	0.0797528291825489
10	neuronal	759064	0.234241996326506
9	oligo_mature	86347	0.0252154558154965
2	myeloid	184453	0.130642798862233
8	myeloid	39682	0.119645183076849
10	oligo_mature	23769	0.00733495200758399
1	radial_glia	2381730	0.245485725169942
8	astro_glial	38672	0.116599932461769
2	opc	121930	0.0863595412667294
3	opc	785526	0.148873112377949
7	myeloid	177883	0.242527159093388
6	astro_glial	35065	0.0407005627158935
9	radial_glia	202186	0.0590433037570728
9	undetermined	713593	0.208386773851409
2	undetermined	15834	0.011214770576703
11	astro_glial	46556	0.11958040521103
4	opc	104839	0.0863605959959406
8	proliferation	5338	0.0160946017656423
4	radial_glia	71442	0.058849986161085
1	t_cell	128857	0.013281335033032
5	astro_glial	161565	0.144098015012272
4	undetermined	55774	0.0459435504066005
9	endothelial	182195	0.0532054382005672
3	endothelial	180220	0.0341553459882346
12	endothelial	70838	0.068458915759525
1	opc	290737	0.0299663619632509
3	radial_glia	696020	0.131909909636728
19	opc	3131	0.691475265017668
6	proliferation	77487	0.0899405248300709
5	endothelial	27763	0.0247615089331583
19	myeloid	1024	0.226148409893993
7	astro_glial	92547	0.126179348181759
12	t_cell	110422	0.106713492701633
11	neuronal	173153	0.444748386964205
11	radial_glia	34241	0.0879489787531336
1	myeloid	246002	0.0253555102229288
10	undetermined	88688	0.0273685146050994
12	opc	115416	0.111539769915883
3	oligo_mature	49682	0.00941574686154406
10	radial_glia	465963	0.143793017893469
10	t_cell	49824	0.0153753480931408
11	opc	21776	0.0559322730448362
2	t_cell	9222	0.00653167956665118
7	neuronal	137954	0.188087628978425
6	opc	34353	0.0398741317832337
5	opc	590010	0.526223314686911
1	oligo_mature	87637	0.00903277554412895
11	oligo_mature	14015	0.0359979246291045
2	oligo_mature	11373	0.00805517151502102
8	radial_glia	28234	0.08512832263978
11	endothelial	16905	0.0434209715201578
11	myeloid	23695	0.0608612789216291
9	proliferation	76992	0.0224835648505067
3	undetermined	251606	0.0476844411425799
12	neuronal	324064	0.313180356259278
12	myeloid	127136	0.122866155368629
5	radial_glia	35263	0.0314506749814487
8	opc	54633	0.164723937478894
2	proliferation	5435	0.003849455480888
6	oligo_mature	8743	0.0101481539947257
6	endothelial	26042	0.0302274077925937
5	myeloid	87423	0.0779715951252925
6	myeloid	32406	0.0376142146120418
11	undetermined	42919	0.110238667652982
8	neuronal	108653	0.327599618891408
3	t_cell	77801	0.0147448677906483
4	proliferation	16735	0.0137853716078183
19	radial_glia	21	0.00463780918727915
9	t_cell	104925	0.0306406904865365
7	radial_glia	66788	0.0910593137147968
12	radial_glia	75951	0.0734001963755567
16	astro_glial	2142	0.0941455696202532
1	proliferation	137217	0.0141430030904611
16	radial_glia	2808	0.123417721518987
10	proliferation	37337	0.0115219446803468
4	t_cell	17663	0.0145498069141855
6	radial_glia	322779	0.374655266872191
8	undetermined	21131	0.0637120700467943
5	neuronal	184908	0.164917375420972
19	t_cell	71	0.0156802120141343
11	proliferation	7536	0.0193564295401307
16	neuronal	12379	0.544084036568214
1	undetermined	428971	0.0442141875913203
3	proliferation	70571	0.0133746361210504
7	opc	160251	0.218487543901747
11	t_cell	8532	0.0219146837627913
16	myeloid	1240	0.0545007032348805
6	undetermined	41343	0.0479875478215652
5	undetermined	13888	0.012386551743821
16	endothelial	972	0.0427215189873418
7	oligo_mature	5633	0.00768007896860889
12	oligo_mature	14290	0.0138100723651658
8	oligo_mature	3761	0.0113397896666506
12	undetermined	98822	0.095503077065809
19	endothelial	120	0.0265017667844523
6	t_cell	12896	0.0149686141960406
12	proliferation	17288	0.0167073849579416
19	astro_glial	117	0.025839222614841
16	undetermined	970	0.0426336146272855
5	oligo_mature	6273	0.00559481848279011
7	undetermined	24935	0.0339965860256103
7	t_cell	11966	0.0163145437490456
5	proliferation	8017	0.00715027256121925
16	opc	1362	0.0598628691983122
16	oligo_mature	222	0.00975738396624473
5	t_cell	6106	0.00544587305211485
14	astro_glial	2002	0.0333577712609971
7	proliferation	7611	0.0103769005911738
19	oligo_mature	29	0.00640459363957597
8	t_cell	6351	0.0191488976795793
14	neuronal	44319	0.738453079178886
19	proliferation	15	0.00331272084805654
13	opc	1194	0.578488372093023
13	astro_glial	17	0.00823643410852713
13	myeloid	467	0.226259689922481
13	endothelial	174	0.0843023255813954
15	astro_glial	861	0.698863636363636
15	opc	30	0.0243506493506494
13	t_cell	133	0.064437984496124
15	endothelial	162	0.131493506493507
15	myeloid	72	0.0584415584415584
15	neuronal	25	0.0202922077922078
15	oligo_mature	79	0.0641233766233766
13	neuronal	31	0.0150193798449612
14	opc	1725	0.0287423353772327
14	undetermined	1471	0.0245101306318315
14	myeloid	3568	0.0594508131165023
16	t_cell	331	0.0145481715893108
14	t_cell	1005	0.0167455345241269
16	proliferation	326	0.0143284106891702
14	radial_glia	1051	0.0175119968008531
14	proliferation	611	0.0101806185017329
14	endothelial	3088	0.0514529458810984
14	oligo_mature	1176	0.0195947747267395
13	proliferation	3	0.00145348837209302
17	neuronal	100	0.480769230769231
17	astro_glial	33	0.158653846153846
17	myeloid	27	0.129807692307692
17	opc	33	0.158653846153846
17	t_cell	13	0.0625
13	undetermined	6	0.00290697674418605
13	radial_glia	32	0.0155038759689922
15	t_cell	3	0.00243506493506494
13	oligo_mature	7	0.00339147286821705
17	undetermined	1	0.00480769230769231
17	radial_glia	1	0.00480769230769231
