niche_type	dominant_celltypes	top_pathology	top_histology	n_cells	n_samples_5pct	top_sample_frac	sample_private	candidate_identity
1	Neuronal (55%); Radial glia (25%)	Lipidized cells (logOR=1)	central neurocytoma (logOR=1.7)	606382	5	0.53	FALSE	Neuronal (55%); Radial glia (25%) | region: Lipidized cells (logOR=1) | hist: central neurocytoma (logOR=1.7)
2	Astrocytes (46%); Neuronal (16%)		ganglioglioma (logOR=4.7)	88243	2	0.6	FALSE	Astrocytes (46%); Neuronal (16%) | hist: ganglioglioma (logOR=4.7)
3	Neuronal (34%); Myeloid (15%)		pilocytic astrocytoma (logOR=1.1)	329780	7	0.35	FALSE	Neuronal (34%); Myeloid (15%) | hist: pilocytic astrocytoma (logOR=1.1)
4	Neuronal (33%); Astrocytes (18%)	Neuropil zone (logOR=0.9)	ganglioglioma (logOR=1.2)	75873	5	0.3	FALSE	Neuronal (33%); Astrocytes (18%) | region: Neuropil zone (logOR=0.9) | hist: ganglioglioma (logOR=1.2)
5	OPC (53%); Neuronal (16%)		pilocytic astrocytoma (logOR=2.6)	70076	6	0.3	FALSE	OPC (53%); Neuronal (16%) | hist: pilocytic astrocytoma (logOR=2.6)
6	Radial glia (37%); Neuronal (31%)		central neurocytoma (logOR=1.6)	53846	5	0.33	FALSE	Radial glia (37%); Neuronal (31%) | hist: central neurocytoma (logOR=1.6)
7	Myeloid (24%); OPC (22%)		pilocytic astrocytoma (logOR=0.3)	45841	5	0.37	FALSE	Myeloid (24%); OPC (22%) | hist: pilocytic astrocytoma (logOR=0.3)
8	Neuronal (33%); OPC (16%)		ganglioglioma (logOR=0.9)	20729	6	0.25	FALSE	Neuronal (33%); OPC (16%) | hist: ganglioglioma (logOR=0.9)
9	Neuronal (36%); Undetermined (21%)	Blood (logOR=2.5)	ganglioglioma (logOR=1.2)	214023	6	0.38	FALSE	Neuronal (36%); Undetermined (21%) | region: Blood (logOR=2.5) | hist: ganglioglioma (logOR=1.2)
10	Endothelial (24%); Neuronal (23%)		pilocytic astrocytoma (logOR=0.6)	202532	7	0.23	FALSE	Endothelial (24%); Neuronal (23%) | hist: pilocytic astrocytoma (logOR=0.6)
11	Neuronal (44%); Astrocytes (12%)		cerebellar liponeurocytoma (logOR=1.4)	24333	5	0.42	FALSE	Neuronal (44%); Astrocytes (12%) | hist: cerebellar liponeurocytoma (logOR=1.4)
12	Neuronal (31%); Myeloid (12%)	Blood (logOR=1.8)	pilocytic astrocytoma (logOR=0.3)	64672	7	0.33	FALSE	Neuronal (31%); Myeloid (12%) | region: Blood (logOR=1.8) | hist: pilocytic astrocytoma (logOR=0.3)
13	OPC (58%); Myeloid (23%)		pilocytic astrocytoma (logOR=0.7)	129	1	0.95	TRUE	OPC (58%); Myeloid (23%) | hist: pilocytic astrocytoma (logOR=0.7) | SAMPLE-PRIVATE (candidate tumor niche)
14	Neuronal (74%); Myeloid (6%)		central neurocytoma (logOR=1.4)	3751	1	0.95	TRUE	Neuronal (74%); Myeloid (6%) | hist: central neurocytoma (logOR=1.4) | SAMPLE-PRIVATE (candidate tumor niche)
15	Astrocytes (70%); Endothelial (13%)			77	1	1	TRUE	Astrocytes (70%); Endothelial (13%) | SAMPLE-PRIVATE (candidate tumor niche)
16	Neuronal (54%); Radial glia (12%)		cerebellar liponeurocytoma (logOR=1.2)	1422	5	0.33	FALSE	Neuronal (54%); Radial glia (12%) | hist: cerebellar liponeurocytoma (logOR=1.2)
17	Neuronal (48%); Astrocytes (16%)			13	1	1	TRUE	Neuronal (48%); Astrocytes (16%) | SAMPLE-PRIVATE (candidate tumor niche)
19	OPC (69%); Myeloid (23%)			283	1	1	TRUE	OPC (69%); Myeloid (23%) | SAMPLE-PRIVATE (candidate tumor niche)
